"deputy" "partia" "ile_razy_mowil" "name" "procentowa_zgodnosc" "srednia_zgodnosc"
"412" 412 "PiS" 5 "Uruski Piotr" 99.8 0.997
"413" 413 "PiS" 18 "Uœciñski Piotr" 99.7 0.997
"414" 414 "PiS" 0 "Wargocka Teresa" 99.6 0.997
"415" 415 "PiS" 0 "Warwas Robert" 100 0.997
"416" 416 "PiS" 23 "Warzecha Jan" 99.6 0.997
"417" 417 "PO" 20 "Wasilewska Anna" 98.8 0.985
"418" 418 "PiS" 9 "Wassermann Ma³gorzata" 99.6 0.997
"419" 419 "PiS" 6 "Waszczykowski Witold" 99.6 0.997
"420" 420 "PiS" 0 "W¹sik Maciej" 99.6 0.997
"421" 421 "PiS" 31 "Weber Rafa³" 99.8 0.997
"422" 422 "PO" 47 "Wielichowska Monika" 98.7 0.985
"423" 423 "PO" 55 "Wilczyñski Ryszard" 96.7 0.985
"424" 424 "Kukiz15" 15 "Wilk Jacek" 83.6 0.901
"425" 425 "PiS" 7 "Wilk Jerzy" 99.8 0.997
"426" 426 "PO" 26 "Wilk Wojciech" 99.2 0.985
"428" 428 "PO" 6 "Witczak Mariusz" 98.3 0.985
"429" 429 "PiS" 2 "Witek El¿bieta" 99.7 0.997
"430" 430 "PiS" 18 "Wojciechowski Grzegorz" 99.7 0.997
"431" 431 "PiS" 3 "Wojtkiewicz Micha³" 99 0.997
"432" 432 "PiS" 7 "WoŸniak Grzegorz Adam" 99.9 0.997
"433" 433 "PiS" 7 "WoŸniak Tadeusz" 99.9 0.997
"434" 434 "PO" 30 "Wójcik Marek" 98.8 0.985
"435" 435 "PiS" 17 "Wójcik Micha³" 99.7 0.997
"436" 436 "Kukiz15" 138 "Wójcikowski Rafa³" 78 0.901
"437" 437 "N" 26 "Wróblewska Kornelia" 96.2 0.947
"438" 438 "PiS" 21 "Wróblewska Krystyna" 99.9 0.997
"439" 439 "PiS" 36 "Wróblewski Bart³omiej" 99.7 0.997
"440" 440 "PiS" 2 "Wypych Ma³gorzata" 99.9 0.997
"441" 441 "PiS" 1 "Zagórski Marek" 99.6 0.997
"442" 442 "PiS" 49 "Zalewska Anna" 99.5 0.997
"443" 443 "PiS" 8 "Zaremba Krzysztof" 99.9 0.997
"444" 444 "PiS" 4 "Zasada Artur" 99.7 0.997
"445" 445 "PiS" 2 "Zawiœlak S³awomir" 99.5 0.997
"446" 446 "PiS" 11 "Zbonikowski £ukasz" 99.8 0.997
"447" 447 "N" 57 "Zembaczyñski Witold" 94.3 0.947
"448" 448 "PO" 17 "Zembala Marian" 97.3 0.985
"449" 449 "PSL" 14 "Zgorzelski Piotr" 96.7 0.959
"450" 450 "PiS" 3 "Zieliñski Jaros³aw" 99.6 0.997
"451" 451 "PO" 8 "Ziemniak Wojciech" 99 0.985
"452" 452 "PiS" 12 "Ziobro Zbigniew" 96.8 0.997
"453" 453 "PO" 4 "Zió³kowski Szymon" 98.9 0.985
"454" 454 "PiS" 29 "Zuba Maria" 99.7 0.997
"455" 455 "PiS" 24 "Zubowski Wojciech" 99.9 0.997
"458" 458 "PiS" 0 "¯alek Jacek" 99.6 0.997
"459" 459 "PO" 12 "¯mijan Stanis³aw" 98.1 0.985
"461" 461 "PiS" 26 "Cicholska Anna" 99.8 0.997
"462" 462 "PiS" 22 "Czochara Katarzyna" 99.8 0.997
"463" 463 "PiS" 3 "Kaczorowska Alicja" 99.5 0.997
"464" 464 "PO" 21 "Ko³odziej Ewa" 99.3 0.985
"465" 465 "PiS" 3 "Strza³kowski Stefan" 99.7 0.997
"466" 466 "PiS" 6 "Olejniczak Waldemar" 99.6 0.997
"467" 467 "PiS" 18 "Stawiarski Bart³omiej" 99.7 0.997
"468" 468 "PiS" 2 "Melak Andrzej" 99.9 0.997
"469" 469 "PiS" 3 "Raczak Grzegorz" 99 0.997
"470" 470 "PiS" 4 "Piechowiak Grzegorz" 99.5 0.997
